sample_id,label,label_orig,group_id,title,description,text,split
agnews_test_006707,2,3,2,Stocks to Watch on Dec. 1," NEW YORK (Reuters) - U.S. stocks to watch on Wednesday: IBM  CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: The computer maker said it sealed deals worth  more than \$1 billion in new work with two European companies  from which the information technology company just acquired two  Danish services providers.","Stocks to Watch on Dec. 1 NEW YORK (Reuters) - U.S. stocks to watch on Wednesday: IBM  CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: The computer maker said it sealed deals worth  more than \$1 billion in new work with two European companies  from which the information technology company just acquired two  Danish services providers.",test
agnews_test_004154,0,1,0,Kerry Win Would Trigger Fierce Senate Race (AP),"AP - If John Kerry is elected president, Massachusetts would end up with its first Senate vacancy in 20 years, triggering a springtime special election that could determine the balance of power in Congress' upper chamber.","Kerry Win Would Trigger Fierce Senate Race (AP) AP - If John Kerry is elected president, Massachusetts would end up with its first Senate vacancy in 20 years, triggering a springtime special election that could determine the balance of power in Congress' upper chamber.",test
agnews_test_007014,3,4,3,Minn. Test Drives New License Technology (AP),AP - Minnesota next week will begin issuing a first-of-its-kind driver's license designed to thwart counterfeiters  #151; an issue that has taken on greater urgency since the Sept. 11 attacks.,Minn. Test Drives New License Technology (AP) AP - Minnesota next week will begin issuing a first-of-its-kind driver's license designed to thwart counterfeiters  #151; an issue that has taken on greater urgency since the Sept. 11 attacks.,test
agnews_test_004321,1,2,1,Ballesteros Hoping to Play Full Season Next Year, MADRID (Reuters) - Severiano Ballesteros said on Friday he  has made such a dramatic recovery from his back problems that  he hopes to play a full season next year on both sides of the  Atlantic.,Ballesteros Hoping to Play Full Season Next Year MADRID (Reuters) - Severiano Ballesteros said on Friday he  has made such a dramatic recovery from his back problems that  he hopes to play a full season next year on both sides of the  Atlantic.,test
agnews_test_002574,2,3,2,Adobe updates RAW plug-in with digital negative format,"Adobe has updated Photoshop #39;s support for digital cameras #39; RAW image formats. The new plug-in adds to the number of camera models supported and includes a utility for converting images into the DNG, digital negative format.","Adobe updates RAW plug-in with digital negative format Adobe has updated Photoshop #39;s support for digital cameras #39; RAW image formats. The new plug-in adds to the number of camera models supported and includes a utility for converting images into the DNG, digital negative format.",test
agnews_test_005853,3,4,3,Apple Sailing on Digital River,"the iPod -s a nifty little device, primarily allowing you to listen to downloaded music, but also giving you the opportunity ","Apple Sailing on Digital River the iPod -s a nifty little device, primarily allowing you to listen to downloaded music, but also giving you the opportunity",test
agnews_test_007422,2,3,2,"Gateway Updates 4Q, Year Guidance",Gateway Inc. on Wednesday raised fourth-quarter earnings expectations as the personal computer maker freed up cash by selling preferred stock and outsourcing its warranty service plans.,"Gateway Updates 4Q, Year Guidance Gateway Inc. on Wednesday raised fourth-quarter earnings expectations as the personal computer maker freed up cash by selling preferred stock and outsourcing its warranty service plans.",test
agnews_test_001358,2,3,2,Crude Oil Falls as Purmono Says OPEC Can Boost Output Capacity,"Crude oil fell as OPEC President Purnomo Yusgiantoro said the group may raise its spare production capacity to as much as 2.5 million barrels a day by the end of this year, reducing concern about shortages.","Crude Oil Falls as Purmono Says OPEC Can Boost Output Capacity Crude oil fell as OPEC President Purnomo Yusgiantoro said the group may raise its spare production capacity to as much as 2.5 million barrels a day by the end of this year, reducing concern about shortages.",test
agnews_test_001353,1,2,1,Royals pain for Tigers; KC wins season series,"For all their rejuvenation, the Tigers have lost the season series to the Kansas City Royals, who own the American League #39;s worst record and don #39;t have a winning mark against another AL club.","Royals pain for Tigers; KC wins season series For all their rejuvenation, the Tigers have lost the season series to the Kansas City Royals, who own the American League #39;s worst record and don #39;t have a winning mark against another AL club.",test
agnews_test_001650,1,2,1,My 50 random musings on the final major championship of the year,So the last major of 2004 is in the books. Herewith 50 random ruminations on the US Open that was. ... 1. Imagine how good Roger Federer will be once he learns to move around the court a little.,My 50 random musings on the final major championship of the year So the last major of 2004 is in the books. Herewith 50 random ruminations on the US Open that was. ... 1. Imagine how good Roger Federer will be once he learns to move around the court a little.,test
agnews_test_005564,0,1,0,Local Israeli And Palestinian Teens React To Arafat #39;s Death,The death of Palestinian leader Yasser Arafat is deeply dividing an already torn Middle Eastern country. As Palestinians mourn the loss of their leader ,Local Israeli And Palestinian Teens React To Arafat #39;s Death The death of Palestinian leader Yasser Arafat is deeply dividing an already torn Middle Eastern country. As Palestinians mourn the loss of their leader,test
agnews_test_003832,0,1,0,Italian Woman's Veil Stirs More Than Fashion Feud,"The case of a Muslim woman fined for wearing a veil has created a dispute involving politicians, civil rights groups and a fashion designer.","Italian Woman's Veil Stirs More Than Fashion Feud The case of a Muslim woman fined for wearing a veil has created a dispute involving politicians, civil rights groups and a fashion designer.",test
agnews_test_001908,1,2,1,Kluivert gives Souness stuttering start at Newcastle,"Patrick Kluivert struck twice as Graeme Souness began his reign at St James Park with a 2-0 win over Israeli Arab side Bnei Sakhnin in the UEFA Cup first round, first leg at Newcastle United this morning.","Kluivert gives Souness stuttering start at Newcastle Patrick Kluivert struck twice as Graeme Souness began his reign at St James Park with a 2-0 win over Israeli Arab side Bnei Sakhnin in the UEFA Cup first round, first leg at Newcastle United this morning.",test
agnews_test_004303,0,1,0,N. Koreans Seek Asylum in Beijing,"Twenty-nine people believed to be North Koreans have entered a South Korean school in Beijing, apparently seeking asylum. Diplomats say the group, including two children, entered the school early Friday.","N. Koreans Seek Asylum in Beijing Twenty-nine people believed to be North Koreans have entered a South Korean school in Beijing, apparently seeking asylum. Diplomats say the group, including two children, entered the school early Friday.",test
agnews_test_001368,3,4,3,Intel executive: EM64T has set back Itanium,"SAN FRANCISCO -- Intel Corp.'s decision to begin shipping versions of x86 processors that are capable of 64-bit computing has slowed down the adoption of the company's high-end Itanium processors, a senior executive acknowledged Tuesday during a question and answer session at the Intel Developer Forum (IDF) in San Francisco.","Intel executive: EM64T has set back Itanium SAN FRANCISCO -- Intel Corp.'s decision to begin shipping versions of x86 processors that are capable of 64-bit computing has slowed down the adoption of the company's high-end Itanium processors, a senior executive acknowledged Tuesday during a question and answer session at the Intel Developer Forum (IDF) in San Francisco.",test
agnews_test_003989,3,4,3,Halo 2 for Xbox Leaked Online,Microsoft confirms that a pirated copy of Halo 2 for Xbox in the PAL video format and French language started circulating on the Internet this week over newsgroups and piracy sites.,Halo 2 for Xbox Leaked Online Microsoft confirms that a pirated copy of Halo 2 for Xbox in the PAL video format and French language started circulating on the Internet this week over newsgroups and piracy sites.,test
agnews_test_003777,3,4,3,Thai minister says zoo #39;s illegal orangutans to be moved,"JAKARTA/BANGKOK (DPA): Thailand, under growing pressure to repatriate some 100 orangutans allegedly smuggled into the country from Indonesia, plans to shift the apes from a private zoo to a safe centre, probably in Chiang Mai, a minister said on Thursday.","Thai minister says zoo #39;s illegal orangutans to be moved JAKARTA/BANGKOK (DPA): Thailand, under growing pressure to repatriate some 100 orangutans allegedly smuggled into the country from Indonesia, plans to shift the apes from a private zoo to a safe centre, probably in Chiang Mai, a minister said on Thursday.",test
agnews_test_006350,3,4,3,"Phishing on the increase, group says (InfoWorld)","InfoWorld - Online phishing schemes increased significantly in October as financial institutions struggled to combat attempts to steal private account information from online consumers, according to the Anti-Phishing Working Group (APWG).","Phishing on the increase, group says (InfoWorld) InfoWorld - Online phishing schemes increased significantly in October as financial institutions struggled to combat attempts to steal private account information from online consumers, according to the Anti-Phishing Working Group (APWG).",test
agnews_test_001751,0,1,0,Labor Allies Want Senate to Block OT Rules (AP),"AP - Fresh from their triumph in the House, labor allies want the Senate to derail new Bush administration overtime rules that critics say would prevent 6 million American workers from getting the bonus pay.","Labor Allies Want Senate to Block OT Rules (AP) AP - Fresh from their triumph in the House, labor allies want the Senate to derail new Bush administration overtime rules that critics say would prevent 6 million American workers from getting the bonus pay.",test
agnews_test_005089,0,1,0,Bush says he will work with allies,President Bush told a Thursday news conference he would continue to lead the United States in promoting freedom and democracy in the Middle East.,Bush says he will work with allies President Bush told a Thursday news conference he would continue to lead the United States in promoting freedom and democracy in the Middle East.,test
agnews_test_002431,2,3,2,"Durable Goods Fall, Aircraft Orders Slump (Reuters)","Reuters - Orders for long-lasting U.S. durable\goods slipped unexpectedly in August as civilian aircraft\demand plunged, but beat forecasts once transportation was\stripped out, government data showed on Friday.","Durable Goods Fall, Aircraft Orders Slump (Reuters) Reuters - Orders for long-lasting U.S. durable\goods slipped unexpectedly in August as civilian aircraft\demand plunged, but beat forecasts once transportation was\stripped out, government data showed on Friday.",test
agnews_test_003505,0,1,0,"Bush, Kerry Seek to Claim Victory in Ohio (AP)","AP - Chatter about President Bush and Democrat John Kerry was going strong above the whir of spin cycles at the Soapbox laundry, the debate reflecting the presidential race in a must-win state for both candidates.","Bush, Kerry Seek to Claim Victory in Ohio (AP) AP - Chatter about President Bush and Democrat John Kerry was going strong above the whir of spin cycles at the Soapbox laundry, the debate reflecting the presidential race in a must-win state for both candidates.",test
agnews_test_002592,2,3,2,Comcast gets option on TW Cable,NEW YORK (CBS.MW) -- Comcast said Monday that it has an option to cut its stake in Time Warner Cable to 17 percent from 21 percent in exchange for stock in a unit that will hold cable-television systems and cash.,Comcast gets option on TW Cable NEW YORK (CBS.MW) -- Comcast said Monday that it has an option to cut its stake in Time Warner Cable to 17 percent from 21 percent in exchange for stock in a unit that will hold cable-television systems and cash.,test
agnews_test_006223,1,2,1,"Bettis, Steelers post eighth straight win",CINCINNATI - Jerome Bettis ran for 129 yards and the Pittsburgh Steelers #39; blitzing defense created havoc in the second half in a 19-14 win over the Cincinnati Bengals yesterday.,"Bettis, Steelers post eighth straight win CINCINNATI - Jerome Bettis ran for 129 yards and the Pittsburgh Steelers #39; blitzing defense created havoc in the second half in a 19-14 win over the Cincinnati Bengals yesterday.",test
agnews_test_003732,3,4,3,Google Woos Froogle UK Shoppers," quot;We developed Froogle UK so that online shoppers could quickly and easily locate the products they are looking for, from the most obscure to the most popular, quot; Google Engineering Director Cosmos Nicolaou said in a statement.","Google Woos Froogle UK Shoppers quot;We developed Froogle UK so that online shoppers could quickly and easily locate the products they are looking for, from the most obscure to the most popular, quot; Google Engineering Director Cosmos Nicolaou said in a statement.",test
agnews_test_001782,1,2,1,Moya Upset in First Round of China Open (AP),"AP - Top-seeded Carlos Moya was upset by French qualifier Jo-Wilfried Tsonga 6-3, 6-3, in the first round of the China Open on Wednesday.","Moya Upset in First Round of China Open (AP) AP - Top-seeded Carlos Moya was upset by French qualifier Jo-Wilfried Tsonga 6-3, 6-3, in the first round of the China Open on Wednesday.",test
agnews_test_003465,2,3,2,"Lego, Carrefour in French Price-Fix Probe (AP)",AP - French competition authorities are investigating Danish toy maker Lego Systems AS and supermarket retailer Carrefour SA as part of a probe into alleged price fixing in the French toy market in 2002 and early 2003.,"Lego, Carrefour in French Price-Fix Probe (AP) AP - French competition authorities are investigating Danish toy maker Lego Systems AS and supermarket retailer Carrefour SA as part of a probe into alleged price fixing in the French toy market in 2002 and early 2003.",test
agnews_test_000874,1,2,1,"Mr. Chang, Strike a Pose","Halfway around the world, standing virtually in the middle of the Pacific Ocean, the incomparable Timmy Chang is just days away from throwing his first pass of the season. From my tattered sofa, I will be watching him. I want you to watch him, too.","Mr. Chang, Strike a Pose Halfway around the world, standing virtually in the middle of the Pacific Ocean, the incomparable Timmy Chang is just days away from throwing his first pass of the season. From my tattered sofa, I will be watching him. I want you to watch him, too.",test
agnews_test_001348,1,2,1,Vijay follows in Tiger #39;s footsteps,Tiger Woods has put himself in some peculiar positions this year. He has struggled just to make the cut. Tee shots have ricocheted off corporate tents and small children.,Vijay follows in Tiger #39;s footsteps Tiger Woods has put himself in some peculiar positions this year. He has struggled just to make the cut. Tee shots have ricocheted off corporate tents and small children.,test
agnews_test_007373,1,2,1,USC right move for Majerus,"especially since he was so anxious to simply return to the sidelines. Remember, Majerus didn #39;t exactly leave Utah on his terms in 2004.","USC right move for Majerus especially since he was so anxious to simply return to the sidelines. Remember, Majerus didn #39;t exactly leave Utah on his terms in 2004.",test
agnews_test_005939,0,1,0,Explosions rock Argentine banks,"A blast rocks a branch of Citibank in the Argentine capital, Buenos Aires, killing a security guard, reports say.","Explosions rock Argentine banks A blast rocks a branch of Citibank in the Argentine capital, Buenos Aires, killing a security guard, reports say.",test
agnews_test_005202,1,2,1,Surrey poised to sign Harbhajan,Surrey are waiting for approval from the Board of Control for Cricket in India before announcing Harbhajan Singh as an overseas signing for 2005.,Surrey poised to sign Harbhajan Surrey are waiting for approval from the Board of Control for Cricket in India before announcing Harbhajan Singh as an overseas signing for 2005.,test
agnews_test_004951,1,2,1,Spanish flyer: Markko Martin steers his Ford Focus during the &lt;b&gt;...&lt;/b&gt;,MARKKO MARTIN won his second event in succession as he held off a late charge from Marcus Gronholm to come out on top in the Rally of Catalunya.,Spanish flyer: Markko Martin steers his Ford Focus during the &lt;b&gt;...&lt;/b&gt; MARKKO MARTIN won his second event in succession as he held off a late charge from Marcus Gronholm to come out on top in the Rally of Catalunya.,test
agnews_test_000128,1,2,1,UPI NewsTrack Sports,"-- The United States men #39;s basketball team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  quot;They played with heart, quot; said Coach Larry Brown.  quot;That #39;s all you can ask. quot; ...","UPI NewsTrack Sports -- The United States men #39;s basketball team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  quot;They played with heart, quot; said Coach Larry Brown.  quot;That #39;s all you can ask. quot; ...",test
agnews_test_002973,0,1,0,Russias strange bedfellows,Ministers from the Commonwealth of Independent States (CIS) gathered in the Ukrainian capital Kiev on September 29 to formulate a common anti-terrorism strategy.,Russias strange bedfellows Ministers from the Commonwealth of Independent States (CIS) gathered in the Ukrainian capital Kiev on September 29 to formulate a common anti-terrorism strategy.,test
agnews_test_001643,1,2,1,Browns day after: Week one,"The Browns started the season on a good note for the first time since 1994, and the win buoys the teams hopes for the near future.","Browns day after: Week one The Browns started the season on a good note for the first time since 1994, and the win buoys the teams hopes for the near future.",test
agnews_test_003186,0,1,0,Tennis: Night final for Aus Open,The centenary Australian Open will be the first Grand Slam event to stage its final at night.,Tennis: Night final for Aus Open The centenary Australian Open will be the first Grand Slam event to stage its final at night.,test
agnews_test_000802,0,1,0,Hurricane Watch Issued for Gaston Off S.C.,"COLUMBIA, S.C. - A hurricane watch was issued for the South Carolina coast Saturday as forecasters predicted Tropical Storm Gaston would make landfall near Charleston on Sunday night...","Hurricane Watch Issued for Gaston Off S.C. COLUMBIA, S.C. - A hurricane watch was issued for the South Carolina coast Saturday as forecasters predicted Tropical Storm Gaston would make landfall near Charleston on Sunday night...",test
agnews_test_004455,0,1,0,PITCAIRN TRIAL FINDS 5 OF 7 GUILTY,"The three New Zealand judges presiding over sexual assault cases on Pitcairn Island have handed down their verdicts in Adamstown, finding five of the seven men charged guilty of sex crimes.","PITCAIRN TRIAL FINDS 5 OF 7 GUILTY The three New Zealand judges presiding over sexual assault cases on Pitcairn Island have handed down their verdicts in Adamstown, finding five of the seven men charged guilty of sex crimes.",test
agnews_test_001380,2,3,2,Amvescap reorganizes after settling,The chairman of Amvescap said Wednesday that the company planned to wrap its US mutual fund businesses into one following a \$450 million settlement with regulators over improper trading.,Amvescap reorganizes after settling The chairman of Amvescap said Wednesday that the company planned to wrap its US mutual fund businesses into one following a \$450 million settlement with regulators over improper trading.,test
agnews_test_003797,2,3,2,Transport strike hits Netherlands,Public transport grinds to a halt in the Netherlands as workers strike against the government's planned welfare cuts.,Transport strike hits Netherlands Public transport grinds to a halt in the Netherlands as workers strike against the government's planned welfare cuts.,test
agnews_test_004471,0,1,0,Egypt Arrests Alleged Sinai Bombers (AP),AP - Eight Egyptians have been arrested and accused of plotting the nearly simultaneous car bombings of a hotel and tourist camp in the Sinai that killed at least 34 people earlier this month.,Egypt Arrests Alleged Sinai Bombers (AP) AP - Eight Egyptians have been arrested and accused of plotting the nearly simultaneous car bombings of a hotel and tourist camp in the Sinai that killed at least 34 people earlier this month.,test
agnews_test_004015,0,1,0,U.S.: No Decision Made on Iraq Unit's Fate,"BAGHDAD, Iraq - The U.S. military said Monday no decision had been made on whether to discipline Army reservists who refused a supply mission last week, despite statements from their relatives that the soldiers would be discharged...","U.S.: No Decision Made on Iraq Unit's Fate BAGHDAD, Iraq - The U.S. military said Monday no decision had been made on whether to discipline Army reservists who refused a supply mission last week, despite statements from their relatives that the soldiers would be discharged...",test
agnews_test_004545,0,1,0,Powell calls for more Korea talks,US Secretary of State Colin Powell ends  his tour of Asia by once again asking North Korea to resume nuclear talks.,Powell calls for more Korea talks US Secretary of State Colin Powell ends  his tour of Asia by once again asking North Korea to resume nuclear talks.,test
agnews_test_004289,2,3,2,Hummer going smaller for share of big market,General Motors hopes to make its hulking Hummer lineup  quot;more approachable quot; with a new midsize sport utility vehicle scheduled to go on sale next spring.,Hummer going smaller for share of big market General Motors hopes to make its hulking Hummer lineup  quot;more approachable quot; with a new midsize sport utility vehicle scheduled to go on sale next spring.,test
agnews_test_004705,1,2,1,Inter draw with lecce while AC Milan crash Atlanta,Bulgarian teenager Valeri Bojinov scored twice as Lecce came from two goals behind to draw 2-2 with Inter Milan in Italian first division league on Wednesday.,Inter draw with lecce while AC Milan crash Atlanta Bulgarian teenager Valeri Bojinov scored twice as Lecce came from two goals behind to draw 2-2 with Inter Milan in Italian first division league on Wednesday.,test
agnews_test_004197,0,1,0,"Typhoon Tokage Claims 25 Lives; 43 Missing, NHK TV Reports","Twenty-five people were confirmed dead and 43 missing as of 5 am after typhoon Tokage passed through Japan, NHK television said on its Web site.","Typhoon Tokage Claims 25 Lives; 43 Missing, NHK TV Reports Twenty-five people were confirmed dead and 43 missing as of 5 am after typhoon Tokage passed through Japan, NHK television said on its Web site.",test
agnews_test_002839,0,1,0,Gurkhas win citizenship fight,The Gurkhas who have served in the British Army have won an historic fight to be allowed to apply for British citizenship. The decision comes after a lengthy fight by the Nepalese soldiers for the right to ,Gurkhas win citizenship fight The Gurkhas who have served in the British Army have won an historic fight to be allowed to apply for British citizenship. The decision comes after a lengthy fight by the Nepalese soldiers for the right to,test
agnews_test_002518,1,2,1,Orioles to get paid off for Expos #39; move to DC,"In this crevice of the baseball globe, as the season heads to the bottom of the ninth, nothing has changed. It #39;s an annual rite for both teams by the bay to be in prime playoff position with a week to go, and ","Orioles to get paid off for Expos #39; move to DC In this crevice of the baseball globe, as the season heads to the bottom of the ninth, nothing has changed. It #39;s an annual rite for both teams by the bay to be in prime playoff position with a week to go, and",test
agnews_test_007160,1,2,1,Wenger to decide in build-up to Sunday #39;s Premiership showdown,"As Arsenal are preparing to play Chelsea in the big game of the weekend, Gunners #39; manager Frenchman Arsene Wenger is still deciding in the build-up to Sunday #39;s Premier League showdown.","Wenger to decide in build-up to Sunday #39;s Premiership showdown As Arsenal are preparing to play Chelsea in the big game of the weekend, Gunners #39; manager Frenchman Arsene Wenger is still deciding in the build-up to Sunday #39;s Premier League showdown.",test
agnews_test_001681,2,3,2,Carrier #39;s uphill climb,"US Airways said yesterday it can emerge from bankruptcy a stronger airline, but acknowledged it needs deeper wage concessions from its pilots - something it has failed to get after two years of trying.","Carrier #39;s uphill climb US Airways said yesterday it can emerge from bankruptcy a stronger airline, but acknowledged it needs deeper wage concessions from its pilots - something it has failed to get after two years of trying.",test
agnews_test_003104,2,3,2,"Top Court Upholds Visa, MasterCard Ruling"," WASHINGTON (Reuters) - The Supreme Court on Monday let  stand a ruling that the Visa and MasterCard credit card  associations violated federal antitrust law by barring their  member banks from issuing credit and charge cards on the rival  networks of American Express Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AXP.N target=/stocks/quickinfo/fullquote""&gt;AXP.N&lt;/A&gt; and Morgan Stanley.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MWD.N target=/stocks/quickinfo/fullquote""&gt;MWD.N&lt;/A&gt;.","Top Court Upholds Visa, MasterCard Ruling WASHINGTON (Reuters) - The Supreme Court on Monday let  stand a ruling that the Visa and MasterCard credit card  associations violated federal antitrust law by barring their  member banks from issuing credit and charge cards on the rival  networks of American Express Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AXP.N target=/stocks/quickinfo/fullquote""&gt;AXP.N&lt;/A&gt; and Morgan Stanley.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MWD.N target=/stocks/quickinfo/fullquote""&gt;MWD.N&lt;/A&gt;.",test
agnews_test_000866,3,4,3,China Launches Mapping Satellite (AP),"AP - China on Sunday launched a satellite that will carry out land surveying and other scientific projects for several days and return to Earth, government media reported.","China Launches Mapping Satellite (AP) AP - China on Sunday launched a satellite that will carry out land surveying and other scientific projects for several days and return to Earth, government media reported.",test
agnews_test_001257,3,4,3,Capsule to bring the Sun down to Earth,A space capsule set to plunge into Earth #39;s atmosphere with a piece of the Sun this Wednesday has spawned additional projects ranging from spacecraft design to the detection of dangerous asteroids.,Capsule to bring the Sun down to Earth A space capsule set to plunge into Earth #39;s atmosphere with a piece of the Sun this Wednesday has spawned additional projects ranging from spacecraft design to the detection of dangerous asteroids.,test
agnews_test_004375,0,1,0,Edwards: I Won't Raise Retirement Age (AP),"AP - Seizing on a report that a plan to privatize Social Security includes raising the retirement age for full benefits to 72, vice presidential candidate John Edwards on Saturday renewed a promise that the Democrats would never raise the retirement age.","Edwards: I Won't Raise Retirement Age (AP) AP - Seizing on a report that a plan to privatize Social Security includes raising the retirement age for full benefits to 72, vice presidential candidate John Edwards on Saturday renewed a promise that the Democrats would never raise the retirement age.",test
agnews_test_000210,1,2,1,Britain #39;s Olympic medal total takes sudden turn for the better,Great Britain #39;s performances in the Olympic Games made a dramatic and unexpected improvement yesterday as they won a silver and three bronze medals. They were also guaranteed at least a silver medal in badminton #39;s mixed doubles. ,Britain #39;s Olympic medal total takes sudden turn for the better Great Britain #39;s performances in the Olympic Games made a dramatic and unexpected improvement yesterday as they won a silver and three bronze medals. They were also guaranteed at least a silver medal in badminton #39;s mixed doubles.,test
agnews_test_002088,0,1,0,Bush video awarded Turner Prize,Artist Jeremy Deller wins this year's Turner Prize for a film about US President George Bush's home town.,Bush video awarded Turner Prize Artist Jeremy Deller wins this year's Turner Prize for a film about US President George Bush's home town.,test
agnews_test_003378,0,1,0,Timeline of past 25 years in Afghanistan,"1979: The Soviet Union sends troops into Afghanistan to support a pro-Moscow regime, sparking a decade-long war with anti-communist forces supplied and trained by the United States.","Timeline of past 25 years in Afghanistan 1979: The Soviet Union sends troops into Afghanistan to support a pro-Moscow regime, sparking a decade-long war with anti-communist forces supplied and trained by the United States.",test
agnews_test_000110,2,3,2,Yahoo! Ups Ante for Small Businesses,Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,Yahoo! Ups Ante for Small Businesses Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...,test
agnews_test_003788,3,4,3,Dell rides the wave to consumer gadgets (USATODAY.com),"USATODAY.com - Dell will set out Thursday to conquer markets dominated by Apple, Hewlett-Packard and others with products that include its first small digital music player, photo printer and plasma TV.","Dell rides the wave to consumer gadgets (USATODAY.com) USATODAY.com - Dell will set out Thursday to conquer markets dominated by Apple, Hewlett-Packard and others with products that include its first small digital music player, photo printer and plasma TV.",test
agnews_test_001589,0,1,0,U.S.: Korea Cloud Not From Nuclear Blast,"SEOUL, South Korea - A huge mushroom cloud that reportedly billowed up from North Korea was not caused by a nuclear explosion, South Korean and U.S. officials said Sunday, but they said the cause was a mystery...","U.S.: Korea Cloud Not From Nuclear Blast SEOUL, South Korea - A huge mushroom cloud that reportedly billowed up from North Korea was not caused by a nuclear explosion, South Korean and U.S. officials said Sunday, but they said the cause was a mystery...",test
agnews_test_002152,2,3,2,Jury Nearly Set for Enron Criminal Trial (Reuters),Reuters - Opening arguments in the first criminal\case against former Enron Corp. employees are set to begin\after a federal court spent Monday whittling down a panel of\Houston-area residents to find an impartial jury in the city\still stinging from the company's downfall.,Jury Nearly Set for Enron Criminal Trial (Reuters) Reuters - Opening arguments in the first criminal\case against former Enron Corp. employees are set to begin\after a federal court spent Monday whittling down a panel of\Houston-area residents to find an impartial jury in the city\still stinging from the company's downfall.,test
agnews_test_002281,2,3,2,"Saudi Arabia, Qatar, Kuwait still risky investments: study (AFP)","AFP - Investing remains risky in Saudi Arabia, Qatar and Kuwait, notably because the presence of US forces in the region makes these countries vulnerable to terrorist attacks, a security consulting firm said.","Saudi Arabia, Qatar, Kuwait still risky investments: study (AFP) AFP - Investing remains risky in Saudi Arabia, Qatar and Kuwait, notably because the presence of US forces in the region makes these countries vulnerable to terrorist attacks, a security consulting firm said.",test
agnews_test_000908,0,1,0,Israeli Held Meetings With U.S. Analyst (AP),"AP - A senior Israeli diplomat in Washington has met with a Pentagon analyst being investigated by the FBI on suspicion he passed classified information to Israel, Israeli officials confirmed Monday.","Israeli Held Meetings With U.S. Analyst (AP) AP - A senior Israeli diplomat in Washington has met with a Pentagon analyst being investigated by the FBI on suspicion he passed classified information to Israel, Israeli officials confirmed Monday.",test
agnews_test_000838,0,1,0,Tropical Storm Slams Into Coastal S.C.,"CHARLESTON, S.C. - Tropical Storm Gaston blasted the South Carolina coast with rain and near-hurricane strength wind early Sunday, flooding roads and knocking out power to at least 75,000 homes...","Tropical Storm Slams Into Coastal S.C. CHARLESTON, S.C. - Tropical Storm Gaston blasted the South Carolina coast with rain and near-hurricane strength wind early Sunday, flooding roads and knocking out power to at least 75,000 homes...",test
agnews_test_005730,3,4,3,"Sun to shine spotlight on new operating system, Solaris 10",Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.,"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",test
agnews_test_002910,3,4,3,"Netflix, TiVo Promise New Service","The two companies say they will jointly develop a set-top box to download movies over the internet. Netflix will arrange the movie licensing from Hollywood studios, and TiVo will take care of the product technology.","Netflix, TiVo Promise New Service The two companies say they will jointly develop a set-top box to download movies over the internet. Netflix will arrange the movie licensing from Hollywood studios, and TiVo will take care of the product technology.",test
agnews_test_001810,1,2,1,USC Fires Basketball Coach Henry Bibby,"LOS ANGELES - Henry Bibby was fired as Southern California #39;s basketball coach Monday, just four games into his ninth season. The Trojans, beset by some player dissension, are 2-2.","USC Fires Basketball Coach Henry Bibby LOS ANGELES - Henry Bibby was fired as Southern California #39;s basketball coach Monday, just four games into his ninth season. The Trojans, beset by some player dissension, are 2-2.",test
agnews_test_003265,3,4,3,How to take the perfect penalty,A sports psychologist says how footballers should prepare themselves for the high-pressure penalties.,How to take the perfect penalty A sports psychologist says how footballers should prepare themselves for the high-pressure penalties.,test
agnews_test_005921,2,3,2,Dow falls on Wal-Mart update and rise in producer costs,DISAPPOINTMENT over Wal-Marts third-quarter sales performance and news of a sharp rise in October producer prices sent shares in the United States on a downward path yesterday.,Dow falls on Wal-Mart update and rise in producer costs DISAPPOINTMENT over Wal-Marts third-quarter sales performance and news of a sharp rise in October producer prices sent shares in the United States on a downward path yesterday.,test
agnews_test_002444,2,3,2,Some Md. MDs Curtail Surgeries in Insurance Protest,Physicians in a northwest Maryland county plan to halt non-emergency surgeries for at least two weeks to protest a 33 percent increase in malpractice insurance premiums.,Some Md. MDs Curtail Surgeries in Insurance Protest Physicians in a northwest Maryland county plan to halt non-emergency surgeries for at least two weeks to protest a 33 percent increase in malpractice insurance premiums.,test
